PDB codes,VDWAALS 1,EEL 1,EGB 1,ESURF 1,GGAS 1,GSOLV 1,TOTAL 1,VDWAALS 2,EEL 2,EGB 2,ESURF 2,GGAS 2,GSOLV 2,TOTAL 2,Output
"1exd , 2lec",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,1
"1exd , 2mki",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1exd , 2mkk",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"1exd , 3moj",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1exd , 3rn2",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,1
"1exd , 4hid",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,1
"1exd , 4hik",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,1
"1exd , 4him",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,1
"1exd , 4hio",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,1
"1exd , 4hj7",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"1exd , 4hj8",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,1
"1exd , 4pdb",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,1
"1exd , 5wwe",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,1
"1exd , 5wwg",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,1
"1exd , 5wzg",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,1
"1exd , 5wzj",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,1
"1exd , 5wzk",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,1
"1exd , 5z6z",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,1
"1exd , 6eo6",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"1exd , 6eo7",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"1exd , 5ytx",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"1exd , 5ytv",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"1exd , 5ytt",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"1exd , 5yts",-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"1il2 , 1exd",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"1il2 , 1jbr",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,0
"1il2 , 1je8",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"1il2 , 1omh",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"1il2 , 1osb",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"1il2 , 1rkj",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,0
"1il2 , 1s03",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"1il2 , 1s40",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1il2 , 1u63",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"1il2 , 1u6p",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"1il2 , 1wwd",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,0
"1il2 , 1wwe",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"1il2 , 1wwf",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"1il2 , 1wwg",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"1il2 , 1zzi",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,0
"1il2 , 2b6g",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"1il2 , 2err",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"1il2 , 2gkd",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1il2 , 2glo",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"1il2 , 2kh9",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1il2 , 2l41",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1il2 , 2leb",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,0
"1il2 , 2lec",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,0
"1il2 , 2mki",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1il2 , 2mkk",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,0
"1il2 , 3moj",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1il2 , 3rn2",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"1il2 , 4hid",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,0
"1il2 , 4hik",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"1il2 , 4him",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"1il2 , 4hio",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"1il2 , 4hj7",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"1il2 , 4hj8",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"1il2 , 4pdb",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"1il2 , 5wwe",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,0
"1il2 , 5wwg",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"1il2 , 5wzg",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"1il2 , 5wzj",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"1il2 , 5wzk",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
"1il2 , 5z6z",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"1il2 , 6eo6",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"1il2 , 6eo7",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"1il2 , 5ytx",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,0
"1il2 , 5ytv",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,0
"1il2 , 5ytt",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"1il2 , 5yts",-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,0
"1jbr , 1exd",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,0
"1jbr , 1il2",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"1jbr , 1je8",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,0
"1jbr , 1omh",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,0
"1jbr , 1osb",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,0
"1jbr , 1rkj",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1jbr , 1s03",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,0
"1jbr , 1s40",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,0
"1jbr , 1u63",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,0
"1jbr , 1u6p",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,0
"1jbr , 1wwd",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,0
"1jbr , 1wwe",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,0
"1jbr , 1wwf",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,0
"1jbr , 1wwg",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,0
"1jbr , 1zzi",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1jbr , 2b6g",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,0
"1jbr , 2err",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,0
"1jbr , 2gkd",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1jbr , 2glo",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,0
"1jbr , 2kh9",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1jbr , 2l41",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1jbr , 2leb",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,0
"1jbr , 2lec",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,0
"1jbr , 2mki",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-85.56,-260.76,305.67,-10.57,-346.32,295.11,-51.21,1
"1jbr , 2mkk",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-104.7,-933.14,955.84,-14.51,-1037.84,941.33,-96.51,1
"1jbr , 3moj",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-118.26,-7867.57,7908.33,-15.61,-7985.83,7892.73,-93.1,0
"1jbr , 3rn2",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-79.85,-13297.79,13326.09,-14.63,-13377.64,13311.46,-66.18,0
"1jbr , 4hid",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-105.85,-795.86,820.61,-13.55,-901.71,807.06,-94.65,0
"1jbr , 4hik",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-107.19,-610.01,637.28,-12.58,-717.2,624.71,-92.49,0
"1jbr , 4him",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-114.69,-645.74,676.69,-13.7,-760.43,663.0,-97.43,0
"1jbr , 4hio",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-104.72,-605.86,634.38,-13.75,-710.59,620.63,-89.96,0
"1jbr , 4hj7",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-117.45,-636.97,667.89,-13.99,-754.42,653.9,-100.52,0
"1jbr , 4hj8",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-113.49,-720.46,739.96,-13.55,-833.96,726.41,-107.55,0
"1jbr , 4pdb",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-104.98,-3775.83,3832.27,-12.29,-3880.82,3819.98,-60.84,0
"1jbr , 5wwe",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-78.63,-1194.77,1191.48,-10.79,-1273.4,1180.7,-92.7,0
"1jbr , 5wwg",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-88.97,-961.3,981.35,-10.73,-1050.27,970.62,-79.65,0
"1jbr , 5wzg",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-204.74,124.91,-79.29,-24.81,-79.83,-104.11,-183.93,0
"1jbr , 5wzj",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-230.34,130.79,-82.34,-28.29,-99.55,-110.64,-210.19,0
"1jbr , 5wzk",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-176.42,735.87,-706.76,-21.41,559.45,-728.16,-168.71,0
"1jbr , 5z6z",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-209.38,-9915.61,9869.33,-27.23,-10124.99,9842.11,-282.88,0
"1jbr , 6eo6",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-65.78,-810.41,852.77,-7.36,-876.19,845.41,-30.78,0
"1jbr , 6eo7",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-58.78,-864.69,890.7,-6.55,-923.47,884.15,-39.32,0
"1jbr , 5ytx",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-62.74,-206.72,236.49,-7.07,-269.47,229.41,-40.05,1
"1jbr , 5ytv",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-45.47,-179.99,205.21,-5.59,-225.46,199.61,-25.84,1
"1jbr , 5ytt",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-75.96,-273.93,314.46,-8.79,-349.88,305.67,-44.22,1
"1jbr , 5yts",-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,-57.48,-136.57,171.71,-7.0,-194.05,164.71,-29.34,1
"1je8 , 1exd",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-297.43,2853.31,-2769.4,-39.57,2555.87,-2808.97,-253.1,1
"1je8 , 1il2",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-377.15,14928.76,-14798.97,-47.5,14551.61,-14846.48,-294.87,1
"1je8 , 1jbr",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-121.03,-7064.56,7121.25,-15.7,-7185.58,7105.55,-80.04,1
"1je8 , 1omh",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-270.05,-5246.08,5238.97,-34.09,-5516.13,5204.88,-311.25,1
"1je8 , 1osb",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-563.32,-11193.39,11154.77,-72.18,-11756.71,11082.59,-674.11,1
"1je8 , 1rkj",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-119.28,-801.67,834.16,-15.17,-920.95,818.99,-101.96,1
"1je8 , 1s03",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-247.91,-10623.74,10708.88,-30.83,-10871.65,10678.05,-193.59,1
"1je8 , 1s40",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-151.75,-1458.39,1510.73,-20.71,-1610.14,1490.02,-120.12,1
"1je8 , 1u63",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-279.25,-34181.81,34208.24,-41.36,-34461.07,34166.88,-294.19,1
"1je8 , 1u6p",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-82.73,-8405.99,8420.14,-11.19,-8488.72,8408.95,-79.77,1
"1je8 , 1wwd",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-69.9,-995.71,1011.87,-8.73,-1065.6,1003.13,-62.47,1
"1je8 , 1wwe",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-89.9,-1356.54,1369.99,-11.95,-1446.44,1358.04,-88.4,1
"1je8 , 1wwf",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-109.69,-1452.29,1473.77,-14.75,-1561.98,1459.02,-102.95,1
"1je8 , 1wwg",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-75.82,-1272.75,1275.97,-11.37,-1348.57,1264.6,-83.97,1
"1je8 , 1zzi",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-124.32,-1081.08,1111.28,-15.2,-1205.4,1096.08,-109.32,1
"1je8 , 2b6g",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-32.62,-2351.98,2361.59,-4.95,-2384.6,2356.64,-27.96,1
"1je8 , 2err",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-97.46,-560.92,590.08,-11.74,-658.38,578.34,-80.04,1
"1je8 , 2gkd",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-34.48,-1506.27,1521.0,-5.32,-1540.75,1515.67,-25.08,1
"1je8 , 2glo",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-76.22,-4248.3,4260.04,-10.82,-4324.52,4249.23,-75.29,1
"1je8 , 2kh9",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-49.13,-508.76,534.32,-5.94,-557.89,528.38,-29.51,1
"1je8 , 2l41",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-31.83,-226.28,237.63,-4.44,-258.1,233.19,-24.91,1
"1je8 , 2leb",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-112.31,-763.97,770.91,-14.74,-876.28,756.17,-120.11,1
"1je8 , 2lec",-309.02,-25367.65,25386.51,-44.66,-25676.67,25341.85,-334.82,-113.05,-619.56,647.62,-13.8,-732.61,633.82,-98.79,1
